"provincia_id","provincia_nombre","año_2003","año_2004","año_2005","año_2006","año_2007","año_2008","año_2009","año_2010","año_2011","año_2012","año_2013","año_2014","año_2015","año_2016","año_2017","año_2018"
2,"Ciudad Autonoma de Buenos Aires",559785,668720,697201,687915,676216,704909,683418,773411,801278,842010,839280,877364,880581,887005,1042920,1043437
6,"Buenos Aires",9544395,12104543,13049823,13736845,13246073,12368132,13129244,15038155,13831870,15131821,15214290,15004256,15171080,17618171,16796006,16887961
10,"Catamarca",372199,671621,809737,869447,825044,894516,1004605,1070737,1055453,1314085,1085916,1077053,1045641,1029533,989948,1093949
14,"Cordoba",3491961,5350910,5670772,5938800,5773472,5513231,5819420,6219066,6112914,6049344,6151805,6200471,6280297,6531069,6447959,6357891
18,"Corrientes",764887,1057550,1237105,1282932,1366681,1289758,1341217,1482202,1413526,1424848,1471924,1461142,1480900,1719885,1711673,1660174
22,"Chaco",1476825,1910905,1981983,2044228,1961123,2068844,2226312,2266819,2184644,2140470,2270701,2123781,2174629,2458340,2289419,2270718
26,"Chubut",326514,488949,541356,556448,583214,611199,595685,637946,586169,558267,588690,553657,534570,704408,679257,524812
30,"Entre Rios",976846,1853601,1792215,1825769,1820021,1685542,1760602,2008704,1950332,2126904,2095063,2052775,2152679,2376182,2301280,2478633
34,"Formosa",715803,1016511,1225523,1172988,1122995,1108673,1130544,1206562,1145980,1200315,1178088,1193004,1165632,1260979,1158625,1238882
38,"Jujuy",502777,917101,970349,1001365,946563,982331,1052638,1104539,1105538,1104645,1062795,1010966,1131507,1270870,1304350,1391431
42,"La Pampa",392309,506309,509040,526067,525718,488184,529508,548130,538327,529064,532141,543663,570446,638870,747520,764052
46,"La Rioja",349542,506462,484289,498641,484325,466459,502360,617695,543887,608695,624136,605253,579534,576583,605510,628535
50,"Mendoza",1705080,2108249,2187192,2040417,2030219,1876677,1968050,2165731,2147107,2185984,2215783,2514326,2349488,2671338,2601789,2505664
54,"Misiones",869844,1376394,1558358,1648945,1623394,1628926,1673917,1834687,1728644,1697944,1699017,1659156,1680412,1941697,1885632,1831764
58,"Neuquen",528691,744375,521639,537947,498089,468760,515703,606084,542755,589829,587239,561724,583402,722300,758779,598195
62,"Rio Negro",314067,528792,564077,609041,591689,575858,576013,705472,734708,708312,748119,804444,795872,958529,951864,879885
66,"Salta",1018916,1674113,1792169,1810782,1854532,1746727,1956915,2025269,1922107,1985717,1944938,1892732,1884406,2090265,2043404,2061768
70,"San Juan",501222,742304,1122743,1224476,1254143,1328221,1288142,1219649,1073035,1140164,1159210,1202038,1210515,1258029,1340816,1274126
74,"San Luis",674690,915984,875083,852970,912145,999782,1036919,1128982,1036601,1148560,1155111,1223107,1186301,1254709,1310107,1422421
78,"Santa Cruz",51527,155693,229280,260021,245710,261965,273393,316254,256465,268838,225336,182986,170343,301741,275211,319531
82,"Santa Fe",2614452,3467580,3747326,4064725,3831351,3693177,3841821,4090755,3986157,4158975,4306719,4348697,4638185,5205119,5166687,4901948
86,"Santiago del Estero",715558,1184256,1362254,1500865,1563394,1492508,1607258,1731836,1602812,1694146,1707776,1700082,1667279,1810809,1664630,1717746
90,"Tucuman",2169699,3070205,3417891,3459387,3445987,3594380,3583684,3762315,3485778,3552011,3563193,3575523,3603306,4002452,3871004,3811241
94,"Tierra del Fuego, Antartida e Islas del Atlantico Sur",117543,132292,88526,91946,93227,115656,124092,255541,264256,276615,142743,143501,167895,226707,245161,253503
